continent,location,total_cases,total_deaths
Asia,Afghanistan,51526,2191
Europe,Albania,58316,1181
Africa,Algeria,99897,2762
Europe,Andorra,8117,84
Africa,Angola,17568,405
North America,Antigua and Barbuda,159,5
South America,Argentina,1629594,43319
Asia,Armenia,159738,2828
Oceania,Australia,28460,909
Europe,Austria,362911,6261
Asia,Azerbaijan,219041,2670
North America,Bahamas,7887,171
Asia,Bahrain,92913,352
Asia,Bangladesh,514500,7576
North America,Barbados,395,7
Europe,Belarus,196223,1433
Europe,Belgium,648289,19581
North America,Belize,10776,248
Africa,Benin,3251,44
Asia,Bhutan,689,
South America,Bolivia,160985,9175
Europe,Bosnia and Herzegovina,112143,4086
Africa,Botswana,14805,42
South America,Brazil,7700578,195411
Asia,Brunei,157,3
Europe,Bulgaria,202540,7604
Africa,Burkina Faso,6828,85
Africa,Burundi,822,2
Asia,Cambodia,379,
Africa,Cameroon,26848,448
North America,Canada,585400,15644
Africa,Cape Verde,11872,113
Africa,Central African Republic,4963,63
Africa,Chad,2141,104
South America,Chile,612564,16660
Asia,China,96023,4782
South America,Colombia,1654880,43495
Africa,Comoros,823,10
Africa,Congo,7107,108
North America,Costa Rica,169321,2185
Africa,Cote d'Ivoire,22563,138
Europe,Croatia,212007,3961
North America,Cuba,12056,146
Europe,Cyprus,22818,127
Europe,Czechia,732022,11711
Africa,Democratic Republic of Congo,17849,591
Europe,Denmark,166567,1322
Africa,Djibouti,5840,61
North America,Dominica,88,
North America,Dominican Republic,172218,2416
South America,Ecuador,213378,14051
Africa,Egypt,139471,7687
North America,El Salvador,45960,1327
Africa,Equatorial Guinea,5277,86
Africa,Eritrea,1252,1
Europe,Estonia,28406,234
Africa,Eswatini,9482,216
Africa,Ethiopia,124652,1937
Oceania,Fiji,49,2
Europe,Finland,36403,561
Europe,France,2697014,64892
Africa,Gabon,9571,64
Africa,Gambia,3800,124
Asia,Georgia,228410,2528
Europe,Germany,1762637,34145
Africa,Ghana,54930,335
Europe,Greece,139447,4881
North America,Grenada,127,
North America,Guatemala,138236,4820
Africa,Guinea,13738,81
Africa,Guinea-Bissau,2452,45
South America,Guyana,6348,164
North America,Haiti,10015,236
North America,Honduras,122974,3160
Europe,Hungary,325278,9667
Europe,Iceland,5754,29
Asia,India,10286709,148994
Asia,Indonesia,751270,22329
Asia,Iran,1231429,55337
Asia,Iraq,596193,12824
Europe,Ireland,93532,2248
Asia,Israel,428510,3356
Europe,Italy,2129376,74621
North America,Jamaica,12915,303
Asia,Japan,239068,3342
Asia,Jordan,295765,3851
Asia,Kazakhstan,202060,2765
Africa,Kenya,96614,1681
Europe,Kosovo,51502,1336
Asia,Kuwait,150869,936
Asia,Kyrgyzstan,81156,1356
Asia,Laos,41,
Europe,Latvia,41615,644
Asia,Lebanon,183888,1479
Africa,Lesotho,3206,51
Africa,Liberia,1779,83
Africa,Libya,100744,1487
Europe,Liechtenstein,2175,39
Europe,Lithuania,143903,1589
Europe,Luxembourg,46415,495
Africa,Madagascar,17714,261
Africa,Malawi,6684,191
Asia,Malaysia,115078,474
Asia,Maldives,13804,48
Africa,Mali,7203,271
Europe,Malta,12909,219
Oceania,Marshall Islands,4,
Africa,Mauritania,14581,349
Africa,Mauritius,527,10
North America,Mexico,1437185,126507
Europe,Moldova,145258,3004
Europe,Monaco,885,3
Asia,Mongolia,1242,1
Europe,Montenegro,48589,684
Africa,Morocco,440970,7425
Africa,Mozambique,18794,167
Asia,Myanmar,125042,2697
Africa,Namibia,24545,208
Asia,Nepal,261019,1864
Europe,Netherlands,816616,11624
Oceania,New Zealand,2162,25
North America,Nicaragua,6046,165
Africa,Niger,3403,106
Africa,Nigeria,88587,1294
Europe,North Macedonia,83743,2510
Europe,Norway,49803,436
Asia,Oman,128867,1499
Asia,Pakistan,484362,10258
Asia,Palestine,139223,1418
North America,Panama,249733,4064
Oceania,Papua New Guinea,780,9
South America,Paraguay,108349,2262
South America,Peru,1015137,37680
Asia,Philippines,475820,9248
Europe,Poland,1305774,28956
Europe,Portugal,420629,6972
Asia,Qatar,144042,245
Europe,Romania,636201,15841
Europe,Russia,3153960,56798
Africa,Rwanda,8460,94
North America,Saint Kitts and Nevis,32,
North America,Saint Lucia,353,5
North America,Saint Vincent and the Grenadines,121,
Oceania,Samoa,2,
Europe,San Marino,2428,59
Africa,Sao Tome and Principe,1022,17
Asia,Saudi Arabia,362878,6230
Africa,Senegal,19364,410
Europe,Serbia,339997,3250
Africa,Seychelles,275,
Africa,Sierra Leone,2635,76
Asia,Singapore,58629,29
Europe,Slovakia,184508,2250
Europe,Slovenia,123950,2728
Oceania,Solomon Islands,17,
Africa,Somalia,4714,130
Africa,South Africa,1073887,28887
Asia,South Korea,62593,942
Africa,South Sudan,3558,63
Europe,Spain,1928265,50837
Asia,Sri Lanka,43856,208
Africa,Sudan,23316,1468
South America,Suriname,6277,123
Europe,Sweden,437379,8727
Europe,Switzerland,452296,7704
Asia,Syria,11526,717
Asia,Taiwan,802,7
Asia,Tajikistan,13296,90
Africa,Tanzania,509,21
Asia,Thailand,7379,64
Asia,Timor,44,
Africa,Togo,3662,68
North America,Trinidad and Tobago,7158,127
Africa,Tunisia,140557,4730
Asia,Turkey,2220855,21093
Africa,Uganda,35511,265
Europe,Ukraine,1096855,19437
Asia,United Arab Emirates,209678,671
Europe,United Kingdom,2549689,74237
North America,United States,20132054,347894
South America,Uruguay,19753,193
Asia,Uzbekistan,77182,614
Oceania,Vanuatu,1,
Europe,Vatican,27,
South America,Venezuela,113884,1030
Asia,Vietnam,1474,35
Asia,Yemen,2101,610
Africa,Zambia,20997,390
Africa,Zimbabwe,14084,369
