continent,location,stringency_index,population,median_age,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Asia,Afghanistan,,38928341,18.6,1803.987,597.029,9.59,,,37.746,0.5,64.83,0.498
Europe,Albania,60.19,2877800,38,11803.431,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
Africa,Algeria,,43851043,29.1,13913.839,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Europe,Andorra,51.39,77265,,,109.135,7.97,29,37.8,,,83.73,0.858
Africa,Angola,65.74,32866268,16.8,5819.495,276.045,3.94,,,26.664,,61.15,0.581
North America,Antigua and Barbuda,,97928,32.1,21490.943,191.511,13.17,,,,3.8,77.02,0.78
South America,Argentina,79.17,45195777,31.9,18933.907,191.032,5.5,16.2,27.7,,5,76.67,0.825
Asia,Armenia,,2963234,35.7,8787.58,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Oceania,Australia,68.06,25499881,37.9,44648.71,107.791,5.07,13,16.5,,3.84,83.44,0.939
Europe,Austria,78.7,9006400,44.4,45436.686,145.183,6.35,28.4,30.9,,7.37,81.54,0.908
Asia,Azerbaijan,84.26,10139175,32.4,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
North America,Bahamas,,393248,34.3,27717.847,235.954,13.17,3.1,20.4,,2.9,73.92,0.807
Asia,Bahrain,50.93,1701583,32.4,43290.705,151.689,16.52,5.8,37.6,,2,77.29,0.846
Asia,Bangladesh,,164689383,27.5,3523.984,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
North America,Barbados,50.93,287371,39.8,16978.068,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
Europe,Belarus,,9449321,40.3,17167.967,443.129,5.18,10.5,46.1,,11,74.79,0.808
Europe,Belgium,60.19,11589616,41.8,42658.576,114.898,4.29,25.1,31.4,,5.64,81.63,0.916
North America,Belize,72.22,397621,25,7824.362,176.957,17.11,,,90.083,1.3,74.62,0.708
Africa,Benin,35.19,12123198,18.8,2064.236,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
Asia,Bhutan,81.94,771612,28.6,8708.597,217.066,9.75,,,79.807,1.7,71.78,0.612
South America,Bolivia,52.78,11673029,25.4,6885.829,204.299,6.89,,,25.383,1.1,71.51,0.693
Europe,Bosnia and Herzegovina,42.59,3280815,42.5,11713.895,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
Africa,Botswana,56.48,2351625,25.8,15807.374,237.372,4.81,5.7,34.4,,1.8,69.59,0.717
South America,Brazil,,212559409,33.5,14103.452,177.961,8.11,10.1,17.9,,2.2,75.88,0.759
Asia,Brunei,,437483,32.4,71809.251,201.285,12.79,2,30.9,,2.7,75.86,0.853
Europe,Bulgaria,57.41,6948445,44.7,18563.307,424.688,5.81,30.1,44.4,,7.454,75.05,0.813
Africa,Burkina Faso,13.89,20903278,17.6,1703.102,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423
Africa,Burundi,14.81,11890781,17.5,702.225,293.068,6.05,,,6.144,0.8,61.58,0.417
Asia,Cambodia,58.33,16718971,25.6,3645.07,270.892,4,2,33.7,66.229,0.8,69.82,0.582
Africa,Cameroon,20.37,26545864,18.8,3364.926,244.661,7.2,,,2.735,1.3,59.29,0.556
North America,Canada,64.35,37742157,41.4,44017.591,105.599,7.37,12,16.6,,2.5,82.43,0.926
Africa,Cape Verde,64.81,555988,25.7,6222.554,182.219,2.42,2.1,16.5,,2.1,72.98,0.654
Africa,Central African Republic,,4829764,18.3,661.24,435.727,6.1,,,16.603,1,53.28,0.367
Africa,Chad,61.11,16425859,16.7,1768.153,280.995,6.1,,,5.818,,54.24,0.404
South America,Chile,79.17,19116209,35.4,22767.037,127.993,8.46,34.2,41.5,,2.11,80.18,0.843
Asia,China,78.24,1439323774,38.7,15308.712,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
South America,Colombia,60.19,50882884,32.2,13254.949,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.747
Africa,Comoros,,869595,20.4,1413.89,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.503
Africa,Congo,43.52,5518092,19,4881.406,344.094,7.2,1.7,52.3,47.964,,64.57,0.606
North America,Costa Rica,63.89,5094114,33.6,15524.995,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794
Africa,Cote d'Ivoire,15.74,26378275,18.7,3601.006,303.74,2.42,,,19.351,,57.78,0.492
Europe,Croatia,,4105268,44,22669.797,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
North America,Cuba,56.48,11326616,43.1,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
