continent,location,date,new_cases,new_deaths
North America,United States,1/22/2020,,
North America,United States,1/23/2020,0,
North America,United States,1/24/2020,1,
North America,United States,1/25/2020,0,
North America,United States,1/26/2020,3,
North America,United States,1/27/2020,0,
North America,United States,1/28/2020,0,
North America,United States,1/29/2020,1,
North America,United States,1/30/2020,0,
North America,United States,1/31/2020,2,
North America,United States,2/1/2020,0,
North America,United States,2/2/2020,0,
North America,United States,2/3/2020,3,
North America,United States,2/4/2020,0,
North America,United States,2/5/2020,0,
North America,United States,2/6/2020,1,
North America,United States,2/7/2020,0,
North America,United States,2/8/2020,0,
North America,United States,2/9/2020,0,
North America,United States,2/10/2020,0,
North America,United States,2/11/2020,1,
North America,United States,2/12/2020,0,
North America,United States,2/13/2020,1,
North America,United States,2/14/2020,0,
North America,United States,2/15/2020,0,
North America,United States,2/16/2020,0,
North America,United States,2/17/2020,0,
North America,United States,2/18/2020,0,
North America,United States,2/19/2020,0,
North America,United States,2/20/2020,0,
North America,United States,2/21/2020,2,
North America,United States,2/22/2020,0,
North America,United States,2/23/2020,0,
North America,United States,2/24/2020,0,
North America,United States,2/25/2020,0,
North America,United States,2/26/2020,0,
North America,United States,2/27/2020,1,
North America,United States,2/28/2020,0,
North America,United States,2/29/2020,8,1
North America,United States,3/1/2020,7,0
North America,United States,3/2/2020,23,5
North America,United States,3/3/2020,19,1
North America,United States,3/4/2020,33,4
North America,United States,3/5/2020,77,1
North America,United States,3/6/2020,53,2
North America,United States,3/7/2020,166,3
North America,United States,3/8/2020,116,4
North America,United States,3/9/2020,75,1
North America,United States,3/10/2020,188,6
North America,United States,3/11/2020,365,5
North America,United States,3/12/2020,439,10
North America,United States,3/13/2020,633,8
North America,United States,3/14/2020,759,7
North America,United States,3/15/2020,234,12
North America,United States,3/16/2020,1467,27
North America,United States,3/17/2020,1833,36
North America,United States,3/18/2020,2657,59
North America,United States,3/19/2020,4494,72
North America,United States,3/20/2020,6367,103
North America,United States,3/21/2020,5995,99
North America,United States,3/22/2020,8830,110
North America,United States,3/23/2020,11231,187
North America,United States,3/24/2020,10612,241
North America,United States,3/25/2020,12075,326
